pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,2,6
mae,arrotar,0,6,8
mae,ninar,0,8,10
mae,trocar_fralda,0,10,12
pai,lavar_louca,0,13,14
mae,amamentar,1,14,18
pai,lavar_banheiro,0,14,16
pai,arrotar,1,18,20
mae,ninar,1,20,22
mae,trocar_fralda,1,22,24
pai,tirar_lixo,0,22,23
mae,amamentar,2,26,30
pai,aspirar_casa,0,28,30
pai,arrotar,2,30,32
mae,preparar_cafe_manha,0,31,32
avo,ninar,2,32,34
mae,trocar_fralda,2,34,36
avo,cortar_unha,0,37,38
mae,amamentar,3,38,42
mae,arrotar,3,42,44
babysitter,ninar,3,44,46
babysitter,trocar_fralda,3,46,48
mae,amamentar,4,50,54
avo,preparar_almoco,0,51,53
avo,arrotar,4,54,56
babysitter,ninar,4,56,58
babysitter,trocar_fralda,4,58,60
tia,banho_de_sol,0,61,62
mae,amamentar,5,62,66
mae,passar_roupa,0,66,68
tio,arrotar,5,66,68
mae,ninar,5,68,70
pai,lavar_louca,1,68,69
mae,trocar_fralda,5,70,72
tio,banho,0,72,74
mae,amamentar,6,74,78
mae,preparar_jantar,0,78,80
tio,arrotar,6,78,80
pai,ninar,6,80,82
mae,trocar_fralda,6,82,84
mae,amamentar,7,86,90
pai,arrotar,7,90,92
pai,ninar,7,92,94
mae,lavar_roupa,0,93,94
mae,trocar_fralda,7,94,96
pai,estender_roupa,0,94,95
