pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,1,3
pai,arrotar,0,3,4
mae,ninar,0,4,5
mae,trocar_fralda,0,5,6
pai,lavar_banheiro,0,5,7
mae,amamentar,1,7,9
pai,fazer_comida,1,7,10
mae,arrotar,1,9,10
pai,ninar,1,10,11
mae,trocar_fralda,1,11,12
mae,amamentar,2,13,15
pai,lavar_louca,0,13,14
avo,banho,0,13,14
avo,arrotar,2,15,16
avo,ninar,2,16,17
mae,trocar_fralda,2,17,18
mae,amamentar,3,19,21
mae,arrotar,3,21,22
mae,ninar,3,22,23
mae,trocar_fralda,3,23,24
mae,amamentar,4,25,27
mae,arrotar,4,27,28
mae,ninar,4,28,29
mae,trocar_fralda,4,29,30
mae,amamentar,5,31,33
tia,arrotar,5,33,34
tia,ninar,5,34,35
mae,trocar_fralda,5,35,36
mae,amamentar,6,37,39
babysitter,arrotar,6,39,40
pai,fazer_comida,0,40,43
babysitter,ninar,6,40,41
mae,trocar_fralda,6,41,42
mae,amamentar,7,43,45
mae,arrotar,7,45,46
pai,lavar_louca,1,45,46
mae,ninar,7,46,47
mae,trocar_fralda,7,47,48
