pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
mae,amamentar,1,0,4,1,00:00,1,01:00
pai,arrotar,6,6,8,1,01:30,1,02:00
pai,arrotar,5,8,10,1,02:00,1,02:30
mae,amamentar,4,10,14,1,02:30,1,03:30
mae,amamentar,0,14,18,1,03:30,1,04:30
mae,trocar_fralda,2,18,20,1,04:30,1,05:00
mae,trocar_fralda,6,20,22,1,05:00,1,05:30
mae,amamentar,7,22,26,1,05:30,1,06:30
mae,amamentar,6,26,30,1,06:30,1,07:30
avo,preparar_almoco,0,28,30,1,07:00,1,07:30
mae,banho,0,32,34,1,08:00,1,08:30
mae,estender_roupa,0,34,35,1,08:30,1,08:45
mae,amamentar,2,35,39,1,08:45,1,09:45
babysitter,ninar,4,40,42,1,10:00,1,10:30
babysitter,trocar_fralda,0,42,44,1,10:30,1,11:00
avo,preparar_jantar,0,44,46,1,11:00,1,11:30
babysitter,ninar,7,44,46,1,11:00,1,11:30
babysitter,ninar,1,46,48,1,11:30,1,12:00
mae,preparar_cafe_manha,0,48,49,1,12:00,1,12:15
avo,cortar_unha,0,48,49,1,12:00,1,12:15
babysitter,trocar_fralda,3,49,51,1,12:15,1,12:45
babysitter,ninar,2,51,53,1,12:45,1,13:15
babysitter,ninar,6,53,55,1,13:15,1,13:45
babysitter,ninar,5,55,57,1,13:45,1,14:15
babysitter,trocar_fralda,7,57,59,1,14:15,1,14:45
babysitter,ninar,0,59,61,1,14:45,1,15:15
avo,banho_de_sol,0,62,63,1,15:30,1,15:45
mae,trocar_fralda,4,65,67,1,16:15,1,16:45
tia,arrotar,1,67,69,1,16:45,1,17:15
pai,arrotar,0,70,72,1,17:30,1,18:00
mae,lavar_roupa,0,71,72,1,17:45,1,18:00
mae,amamentar,5,72,76,1,18:00,1,19:00
pai,aspirar_casa,0,75,77,1,18:45,1,19:15
mae,ninar,3,76,78,1,19:00,1,19:30
mae,trocar_fralda,5,79,81,1,19:45,1,20:15
tio,arrotar,7,81,83,1,20:15,1,20:45
tio,arrotar,4,83,85,1,20:45,1,21:15
mae,amamentar,3,85,89,1,21:15,1,22:15
pai,lavar_banheiro,0,85,87,1,21:15,1,21:45
pai,lavar_louca,0,87,88,1,21:45,1,22:00
pai,lavar_louca,1,88,89,1,22:00,1,22:15
pai,lavar_louca,2,89,90,1,22:15,1,22:30
pai,arrotar,3,90,92,1,22:30,1,23:00
mae,passar_roupa,0,92,94,1,23:00,1,23:30
pai,arrotar,2,92,94,1,23:00,1,23:30
mae,trocar_fralda,1,94,96,1,23:30,2,00:00
pai,tirar_lixo,0,94,95,1,23:30,1,23:45
