pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,ninar,0,1,3
mae,amamentar,0,3,7
pai,lavar_banheiro,2,4,8
mae,arrotar,0,7,9
mae,trocar_fralda,0,9,11
pai,lavar_louca,0,11,13
mae,ninar,1,13,15
pai,lavar_banheiro,1,14,18
mae,amamentar,1,15,19
mae,arrotar,1,19,21
pai,lavar_louca,11,20,22
mae,trocar_fralda,1,21,23
pai,lavar_banheiro,3,22,26
mae,banho,5,23,25
avo,ninar,2,25,27
mae,amamentar,2,27,31
pai,fazer_comida,4,27,33
mae,arrotar,2,31,33
mae,trocar_fralda,2,33,35
mae,banho,1,35,37
avo,ninar,3,37,39
mae,amamentar,3,39,43
avo,arrotar,3,43,45
mae,trocar_fralda,3,45,47
mae,ninar,4,49,51
mae,amamentar,4,51,55
mae,arrotar,4,55,57
mae,trocar_fralda,4,57,59
mae,ninar,5,61,63
mae,amamentar,5,63,67
mae,arrotar,5,67,69
mae,trocar_fralda,5,69,71
babysitter,ninar,6,73,75
mae,amamentar,6,75,79
mae,arrotar,6,79,81
mae,trocar_fralda,6,81,83
pai,fazer_comida,0,81,87
mae,ninar,7,85,87
mae,amamentar,7,87,91
pai,lavar_louca,8,88,90
mae,arrotar,7,91,93
mae,trocar_fralda,7,93,95
mae,ninar,8,97,99
mae,amamentar,8,99,103
pai,lavar_louca,13,100,102
mae,arrotar,8,103,105
mae,trocar_fralda,8,105,107
pai,fazer_comida,9,107,113
mae,ninar,9,109,111
mae,amamentar,9,111,115
pai,fazer_comida,3,114,120
mae,arrotar,9,115,117
mae,trocar_fralda,9,117,119
mae,ninar,10,121,123
mae,amamentar,10,123,127
pai,lavar_banheiro,5,123,127
pai,arrotar,10,127,129
mae,trocar_fralda,10,129,131
mae,ninar,11,133,135
mae,amamentar,11,135,139
mae,arrotar,11,139,141
mae,trocar_fralda,11,141,143
mae,ninar,12,145,147
mae,amamentar,12,147,151
mae,arrotar,12,151,153
mae,trocar_fralda,12,153,155
mae,ninar,13,157,159
mae,amamentar,13,159,163
mae,arrotar,13,163,165
mae,trocar_fralda,13,165,167
pai,lavar_louca,2,168,170
mae,ninar,14,169,171
mae,amamentar,14,171,175
babysitter,arrotar,14,175,177
mae,trocar_fralda,14,177,179
mae,ninar,15,181,183
mae,amamentar,15,183,187
pai,lavar_louca,5,186,188
mae,arrotar,15,187,189
mae,trocar_fralda,15,189,191
pai,lavar_louca,9,190,192
mae,ninar,16,193,195
pai,lavar_louca,3,194,196
mae,amamentar,16,195,199
pai,lavar_louca,12,196,198
mae,arrotar,16,199,201
pai,lavar_banheiro,4,199,203
mae,trocar_fralda,16,201,203
mae,banho,6,203,205
pai,fazer_comida,6,204,210
avo,ninar,17,205,207
mae,amamentar,17,207,211
pai,arrotar,17,211,213
mae,trocar_fralda,17,213,215
avo,ninar,18,217,219
mae,amamentar,18,219,223
mae,arrotar,18,223,225
mae,trocar_fralda,18,225,227
mae,ninar,19,229,231
mae,amamentar,19,231,235
avo,arrotar,19,235,237
mae,trocar_fralda,19,237,239
mae,ninar,20,241,243
mae,amamentar,20,243,247
