pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
pai,lavar_banheiro,0,1,3,1,00:15,1,00:45
pai,ninar,0,4,6,1,01:00,1,01:30
mae,trocar_fralda,0,6,8,1,01:30,1,02:00
mae,amamentar,0,8,12,1,02:00,1,03:00
pai,lavar_louca,0,13,14,1,03:15,1,03:30
pai,arrotar,2,14,16,1,03:30,1,04:00
pai,ninar,1,16,18,1,04:00,1,04:30
mae,trocar_fralda,1,18,20,1,04:30,1,05:00
mae,amamentar,1,20,24,1,05:00,1,06:00
pai,lavar_louca,2,20,21,1,05:00,1,05:15
pai,lavar_louca,1,21,22,1,05:15,1,05:30
pai,arrotar,6,24,26,1,06:00,1,06:30
pai,arrotar,7,26,28,1,06:30,1,07:00
avo,ninar,2,28,30,1,07:00,1,07:30
mae,trocar_fralda,2,30,32,1,07:30,1,08:00
mae,amamentar,2,32,36,1,08:00,1,09:00
avo,preparar_almoco,0,34,36,1,08:30,1,09:00
avo,banho,0,36,38,1,09:00,1,09:30
avo,preparar_jantar,0,38,40,1,09:30,1,10:00
babysitter,ninar,3,40,42,1,10:00,1,10:30
babysitter,trocar_fralda,3,42,44,1,10:30,1,11:00
mae,amamentar,3,44,48,1,11:00,1,12:00
babysitter,banho_de_sol,0,48,49,1,12:00,1,12:15
babysitter,arrotar,3,49,51,1,12:15,1,12:45
avo,cortar_unha,0,51,52,1,12:45,1,13:00
babysitter,ninar,4,52,54,1,13:00,1,13:30
mae,passar_roupa,0,54,56,1,13:30,1,14:00
babysitter,trocar_fralda,4,54,56,1,13:30,1,14:00
mae,amamentar,4,56,60,1,14:00,1,15:00
tia,arrotar,5,60,62,1,15:00,1,15:30
tia,arrotar,1,62,64,1,15:30,1,16:00
tia,ninar,5,64,66,1,16:00,1,16:30
mae,trocar_fralda,5,66,68,1,16:30,1,17:00
mae,amamentar,5,68,72,1,17:00,1,18:00
pai,lavar_roupa,0,69,70,1,17:15,1,17:30
pai,aspirar_casa,0,72,74,1,18:00,1,18:30
tio,arrotar,0,72,74,1,18:00,1,18:30
tio,arrotar,4,74,76,1,18:30,1,19:00
tio,ninar,6,76,78,1,19:00,1,19:30
mae,trocar_fralda,6,78,80,1,19:30,1,20:00
pai,tirar_lixo,0,79,80,1,19:45,1,20:00
mae,amamentar,6,80,84,1,20:00,1,21:00
pai,ninar,7,88,90,1,22:00,1,22:30
mae,trocar_fralda,7,90,92,1,22:30,1,23:00
pai,estender_roupa,0,91,92,1,22:45,1,23:00
mae,amamentar,7,92,96,1,23:00,2,00:00
pai,preparar_cafe_manha,0,93,94,1,23:15,1,23:30
