pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
mae,amamentar,0,1,3
mae,arrotar,0,3,4
mae,trocar_fralda,0,4,5
pai,ninar,0,5,6
mae,amamentar,1,7,9
pai,arrotar,1,9,10
mae,trocar_fralda,1,10,11
avo,ninar,1,11,12
mae,amamentar,2,13,15
mae,arrotar,2,15,16
mae,trocar_fralda,2,16,17
avo,ninar,2,17,18
mae,amamentar,3,19,21
mae,arrotar,3,21,22
mae,trocar_fralda,3,22,23
mae,ninar,3,23,24
mae,banho,0,24,25
mae,amamentar,4,25,27
mae,arrotar,4,27,28
mae,trocar_fralda,4,28,29
mae,ninar,4,29,30
mae,amamentar,5,31,33
tia,arrotar,5,33,34
mae,trocar_fralda,5,34,35
tia,ninar,5,35,36
mae,amamentar,6,37,39
pai,arrotar,6,39,40
mae,trocar_fralda,6,40,41
tio,ninar,6,41,42
mae,amamentar,7,43,45
pai,arrotar,7,45,46
mae,trocar_fralda,7,46,47
mae,ninar,7,47,48
