pessoa,tarefa,ocorrencia,inicio_slot,fim_slot
pai,ninar,0,0,1
mae,ninar,6,1,2
mae,amamentar,0,2,4
pai,arrotar,0,4,5
mae,trocar_fralda,0,5,6
mae,ninar,3,7,8
mae,amamentar,1,8,10
avo,arrotar,1,10,11
mae,trocar_fralda,1,11,12
pai,ninar,4,12,13
mae,ninar,5,13,14
mae,amamentar,2,14,16
mae,arrotar,2,16,17
mae,trocar_fralda,2,17,18
avo,ninar,1,19,20
mae,amamentar,3,20,22
mae,arrotar,3,22,23
mae,trocar_fralda,3,23,24
mae,ninar,7,24,25
mae,ninar,2,25,26
mae,amamentar,4,26,28
mae,arrotar,4,28,29
mae,trocar_fralda,4,29,30
mae,amamentar,5,32,34
tia,arrotar,5,34,35
mae,trocar_fralda,5,35,36
mae,amamentar,6,38,40
babysitter,arrotar,6,40,41
mae,trocar_fralda,6,41,42
tio,banho,0,43,44
mae,amamentar,7,44,46
pai,arrotar,7,46,47
mae,trocar_fralda,7,47,48
